source,x,y,type,name,city,country,housenumber,postcode,street
osm,119293.7479614259,485976.1050723313,garage,,,,,,
osm,125469.17261354064,481000.4939736689,garage,Q-Park Amsterdamse Poort - P23,Amsterdam,,700,1102DZ,Bijlmerdreef
osm,122932.38870696818,485754.6649074516,garage,,,,,,
osm,118739.31741612972,484208.9546982482,garage,,,,,,
osm,118518.32015078331,486950.1563966989,garage,,,,,,
osm,124994.76336165526,480923.0830759549,garage,,,,,,
osm,124507.30557254214,480620.93996343244,garage,,,,,,
osm,121016.67232967477,483184.92163054046,garage,,Amsterdam,,342,1083HN,Barbara Strozzilaan
osm,118953.69468921828,479582.36808283074,garage,,Amstelveen,,101,1181ZM,Stadsplein
osm,125332.89414148232,480871.55123449105,garage,,Amsterdam,,700,1102DZ,Bijlmerplein
osm,117716.63385399534,485345.8211868393,garage,,,,,,
osm,122853.1288386836,487852.8350032554,garage,,Amsterdam,NL,59,1019GM,Piet Heinkade
osm,116619.86672426312,483913.88455540297,garage,,,,,,
osm,122099.84553416254,486908.137652378,garage,,,,,,
osm,114779.1245541499,484775.99991693936,garage,,,,,,
osm,114873.34827164523,484807.1565156871,garage,,,,,,
osm,114972.91376738029,484839.27302332997,garage,,,,,,
osm,115074.46903619867,484870.73007861956,garage,,,,,,
osm,124453.92790010016,487423.4986501803,garage,,,,,,
osm,124578.57966820966,480499.73248630966,garage,,,,,,
osm,125372.72046094037,480183.52083083946,garage,,,,,,
osm,125528.49359946513,481160.0851598427,garage,,,,,,
osm,125132.20243615423,480712.39160309767,garage,,,,,,
osm,123994.27580796811,487531.59090114234,garage,,,,,,
osm,123395.44302914795,488935.1635543227,garage,,,,,,
osm,118103.7346962562,488075.40783376596,garage,,Amsterdam,NL,23B,1055JE,Leeuwendalersweg
osm,121475.95650095973,488666.34698528826,garage,,Amsterdam,,33,,IJdok
osm,120772.61075293909,488684.1948848959,garage,,,,,,
osm,119897.08780940383,486393.2403911579,garage,,,,,,
osm,119108.37840240769,483318.3406313997,garage,,,,,,
osm,121725.00152774974,486578.0034783611,garage,,Amsterdam,,12,1017DA,Amstelstraat
osm,123069.03045053929,484731.48709416727,garage,,,,,,
osm,123076.07614017719,487815.759639362,garage,,,,,,
osm,124591.40208229936,480344.74874116294,garage,,Amsterdam,,228,1101EE,De Entree
osm,120438.13466303871,486126.52929489105,garage,,Amsterdam,,1G,1054ET,Tesselschadestraat
osm,122021.01683288673,488660.6148936482,garage,,,,,,
osm,119999.1761601011,486445.63499736396,garage,,Amsterdam,,36,1054BR,Eerste Constantijn Huygensstraat
osm,118970.01810206346,482982.8959196211,garage,,,,,,
osm,118923.80544606617,484205.70106670656,garage,Parkeergarage AH Stadionplein,Amsterdam,,115,1076CM,Stadionplein
osm,120586.06426594028,486233.3703564845,garage,,,,,,
osm,128030.0546044831,485659.2426687526,garage,,,,,,
osm,124641.67862189158,480782.50621163374,garage,,,,,,
osm,120753.57262833315,483303.3466908211,garage,,,,,,
osm,120465.8719474166,485553.7494818111,garage,,,,,,
osm,122522.82159174359,485773.20874005544,garage,,,,,,
osm,121587.56684618891,488005.8572624278,garage,,,,,,
osm,124719.37114881931,480053.3583876032,garage,,,,,,
osm,127102.84302560583,481749.7728497791,garage,,,,,,
osm,123208.27635416729,483476.7406525674,garage,,,,,,
osm,123727.55529887971,486890.32420104515,garage,,,,,,
osm,127934.78475014343,485684.38726592215,garage,,,,,,
osm,119188.93355658543,488236.88601042604,garage,,,,,,
osm,119828.08812774668,483371.25733028655,garage,,,,,,
osm,125818.71087502681,482538.03238795104,garage,,,,,,
osm,122832.19232889835,484242.1457513489,garage,,,,,,
osm,120247.47225340034,490359.2253362609,garage-ingang,,,,,,
osm,120135.64400128034,483344.6985774451,garage-ingang,,,,,,
osm,121063.65828378688,483799.5965067831,garage-ingang,,,,,,
osm,125345.32721854064,480834.3582389402,garage-ingang,,,,,,
osm,125388.7957197972,480858.8544254063,garage-ingang,,,,,,
osm,120060.3040032585,483344.88589452655,garage-ingang,,,,,,
osm,119865.16880755861,486071.64612117736,garage-ingang,,,,,,
osm,122468.08188032568,487718.79905813764,garage-ingang,,,,,,
osm,118495.14202668394,486966.6063897635,garage-ingang,,,,,,
osm,122195.21560651532,487747.04273630446,garage-ingang,,,,,,
osm,121406.29051208004,487735.8714979666,garage-ingang,,,,,,
osm,121388.44663824965,487717.50021029444,garage-ingang,,,,,,
osm,121574.6741061731,488021.53327348205,garage-ingang,,,,,,
osm,121602.0941163933,487988.20077360497,garage-ingang,,,,,,
osm,120418.35205802006,485583.71275942295,garage-ingang,,,,,,
osm,125850.39499934838,482596.95013025246,garage-ingang,,,,,,
osm,126217.96159109764,483956.2528315152,garage-ingang,,,,,,
osm,126178.28635860425,483408.4515822191,garage-ingang,,,,,,
osm,126080.85574315822,483467.4136142711,garage-ingang,,,,,,
osm,120466.44510355353,489727.593067669,garage-ingang,,,,,,
osm,121193.91915381953,486712.0294096142,garage-ingang,,Amsterdam,,451C,1012WP,Singel
osm,120913.49791750748,485538.6776980465,garage-ingang,,,,,,
osm,120918.46608079135,485411.5976611413,garage-ingang,,,,,,
osm,118131.80478021,487836.93762752414,garage-ingang,,,,,,
osm,120362.88925552703,489641.0510127773,garage-ingang,,,,,,
osm,121604.72604125182,488001.8022034019,garage-ingang,,,,,,
osm,119499.04585161383,479415.3500707901,garage-ingang,,,,,,
osm,121324.26497678694,483494.26417967037,garage-ingang,,,,,,
osm,121323.34790724018,487108.0048157807,garage-ingang,,,,,,
osm,121312.38115675785,487047.87243721745,garage-ingang,,,,,,
osm,119846.71494006133,488292.79715148784,garage-ingang,,,,,,
osm,120619.60950656497,485813.3442674488,garage-ingang,,,,,,
osm,118981.79689458534,482982.9324339677,garage-ingang,,,,,,
osm,125097.68555542582,484017.2164343427,garage-ingang,,,,,,
osm,125148.1420057655,483967.6422992689,garage-ingang,,,,,,
osm,125201.7173764503,484035.01357909053,garage-ingang,,,,,,
osm,125261.07214976625,484065.37666476105,garage-ingang,,,,,,
osm,125249.88707402855,484081.9782694025,garage-ingang,,,,,,
osm,125323.68716499828,484126.96460227907,garage-ingang,,,,,,
osm,125312.37013689373,484142.0313768427,garage-ingang,,,,,,
osm,125215.01708922614,484200.720998491,garage-ingang,,,,,,
osm,125165.32532223267,484153.2206299043,garage-ingang,,,,,,
osm,125013.7747715963,484106.8387410237,garage-ingang,,,,,,
osm,125029.02512572744,479387.68100383057,garage-ingang,,,,,,
osm,125213.63613977423,480776.5571128219,garage-ingang,,,,,,
osm,126292.21168698181,483972.0212037668,garage-ingang,,,,,,
osm,125775.40081169632,484059.63661511056,garage-ingang,,,,,,
osm,124877.65998317984,478434.72911671776,garage-ingang,,,,,,
osm,124800.45819884252,478529.8536423349,garage-ingang,,,,,,
osm,122411.93946255917,486993.2123135096,garage-ingang,,,,,,
osm,122253.5227282781,485887.2455296297,garage-ingang,,,,,,
osm,120176.12326117107,490465.1005227937,garage-ingang,,,,,,
osm,120243.14202666424,490163.934134772,garage-ingang,,,,,,
osm,120268.18369555063,489765.89314521605,garage-ingang,,,,,,
osm,120264.41948498707,489762.99328076595,garage-ingang,,,,,,
osm,120350.67144488715,489833.98814814474,garage-ingang,,,,,,
osm,120325.73606079447,489813.3560979236,garage-ingang,,,,,,
osm,120310.45336882496,489800.5786205472,garage-ingang,,,,,,
osm,120298.80404260571,489791.469754263,garage-ingang,,,,,,
osm,120280.35325508361,489775.3988457806,garage-ingang,,,,,,
osm,120338.14490316197,489978.00258549943,garage-ingang,,,,,,
osm,120228.06463116917,490373.2040217079,garage-ingang,,,,,,
osm,119917.01199854314,490242.75209005305,garage-ingang,,,,,,
osm,119900.25875660473,490277.69854376884,garage-ingang,,,,,,
osm,120206.12484446875,490206.73332680843,garage-ingang,,,,,,
osm,119694.31131737522,489546.661911669,garage-ingang,,,,,,
osm,117123.84737383568,492290.36346160976,garage-ingang,,,,,,
osm,117225.22106966487,489673.01896048686,garage-ingang,,,,,,
osm,117601.61408983971,489608.68525447533,garage-ingang,,,,,,
osm,117763.06838303362,490370.6948006141,garage-ingang,,,,,,
osm,120722.6862216735,483348.9357943059,garage-ingang,,,,,,
osm,126699.22755782117,483222.095245235,garage-ingang,,,,,,
osm,126083.43672460722,483478.70319262985,garage-ingang,,,,,,
osm,126343.85119356733,483236.0156987796,garage-ingang,,,,,,
osm,115481.15964318725,486653.46268639556,garage-ingang,,,,,,
osm,118953.85714879195,479593.426856956,garage-ingang,,,,,,
osm,118947.72841920171,479575.16808116063,garage-ingang,,,,,,
osm,119858.10157672211,483367.0047279334,garage-ingang,,,,,,
osm,119799.6907240387,483358.385620545,garage-ingang,,,,,,
osm,125215.75927192265,484018.66168087604,garage-ingang,,,,,,
osm,125942.28817550889,482597.7218773675,garage-ingang,,,,,,
osm,125964.14486594568,482592.341630277,garage-ingang,,,,,,
osm,125875.39583709283,482554.8552712149,garage-ingang,,,,,,
osm,125876.36046858202,482430.5204798534,garage-ingang,,,,,,
osm,125914.76193183426,482438.9508482942,garage-ingang,,,,,,
osm,125959.30485226924,482384.66905847756,garage-ingang,,,,,,
osm,125987.45286143024,482317.4546104288,garage-ingang,,,,,,
osm,126174.41394685897,482226.9024545136,garage-ingang,,,,,,
osm,126064.16464900831,482354.6351511877,garage-ingang,,,,,,
osm,126026.25333656566,482420.57119471015,garage-ingang,,,,,,
osm,125986.79108841855,482467.15629516,garage-ingang,,,,,,
osm,126118.58729301131,482503.21346408676,garage-ingang,,,,,,
osm,126099.12576943208,482523.0992791426,garage-ingang,,,,,,
brt,121599.763,487987.221999999,,,,,,,
brt,121492.846777918,487420.929686084,,,,,,,
brt,121405.112,487735.645874999,,,,,,,
brt,122446.730394213,487690.675259921,,,,,,,
brt,121467.438999999,488330.8915,,,,,,,
brt,120777.889249999,488686.343125001,,,,,,,
brt,121472.108750001,488661.407499999,,,,,,,
brt,121985.923124999,488636.245437499,,,,,,,
brt,122001.048999999,488769.4285,,,,,,,
brt,122095.469437499,486906.090062499,,,,,,,
brt,122838.263999999,487854.454999998,,,,,,,
brt,122414.841499999,486982.807999998,,,,,,,
brt,117726.325483077,485136.074629716,,,,,,,
brt,117857.480021522,485250.805480877,,,,,,,
brt,119763.4925,477939.2635,,,,,,,
brt,117985.542825017,480054.006468717,,,,,,,
brt,124485.449897627,490269.618242229,,,,,,,
brt,124203.127952263,490249.603254839,,,,,,,
brt,122815.5961409,489339.215894281,,,,,,,
brt,115411.436182355,485939.167870801,,,,,,,
brt,124456.028366794,490095.710989537,,,,,,,
brt,117101.594434661,484012.912960629,,,,,,,
brt,117809.273706064,485623.567173034,,,,,,,
brt,117805.194276948,485578.497364971,,,,,,,
brt,115357.877516464,489389.060676318,,,,,,,
brt,119510.382003592,488682.682345965,,,,,,,
brt,120441.708333333,485591.542,,,,,,,
brt,120903.048053645,486238.209428087,,,,,,,
brt,122372.383230793,485772.278716351,,,,,,,
brt,123663.455112127,482958.412575492,,,,,,,
brt,113834.697623694,485963.95295708,,,,,,,
brt,118086.460145547,480055.927567076,,,,,,,
brt,120439.842999998,486133.991999999,,,,,,,
brt,118514.625,486961.136999998,,,,,,,
brt,118982.432999998,482982.412,,,,,,,
brt,118745.949999999,484179.206999999,,,,,,,
brt,116374.107000001,483639.153000001,,,,,,,
brt,120090.634,483344.901999999,,,,,,,
brt,119108.567000002,483317.938999999,,,,,,,
brt,117955.397,486309.686999999,,,,,,,
brt,122922.063999999,485776.888,,,,,,,
brt,117954.977000002,486088.844000001,,,,,,,
brt,122976.295000002,484089.817000002,,,,,,,
brt,119988.464000002,486441.818999998,,,,,,,
brt,117693.934,485197.032000002,,,,,,,
brt,121925.160999998,486666.195,,,,,,,
brt,117949.811000001,486505.315000001,,,,,,,
brt,117948.52,486651.451000001,,,,,,,
brt,119092.715999998,483242.943999998,,,,,,,
brt,116623.590999998,483638.710999999,,,,,,,
brt,116618.045000002,483915.331999999,,,,,,,
brt,117951.760000002,486238.109000001,,,,,,,
brt,118057.531,486859.993999999,,,,,,,
brt,116535.285999998,483639.041999999,,,,,,,
brt,116545.401783469,484705.881423714,,,,,,,
brt,119943.16248292,481259.237983475,,,,,,,
brt,121268.166974598,486629.224877035,,,,,,,
brt,124879.228937499,480502.286562499,,,,,,,
brt,124960.7560625,480901.2263125,,,,,,,
brt,118891.34,479597.964875001,,,,,,,
brt,120086.126937501,483280.743250001,,,,,,,
brt,116793.449562501,483793.777375001,,,,,,,
brt,124667.2965625,479952.265250001,,,,,,,
brt,124535.840187501,480727.947375,,,,,,,
brt,119497.885000002,479413.333187498,,,,,,,
brt,124431.920937501,480820.863875002,,,,,,,
brt,124525.918312501,480852.6325,,,,,,,
brt,121017.115625001,483183.138562501,,,,,,,
brt,121309.7589375,485618.702125002,,,,,,,
brt,124540.401749998,480479.868625,,,,,,,
brt,116601.414562501,483834.708500002,,,,,,,
brt,121340.195124999,483684.669875,,,,,,,
brt,124580.908124998,480361.085625,,,,,,,
brt,120972.220344088,483670.626758349,,,,,,,
brt,118721.271858626,478374.68635398,,,,,,,
brt,120846.504982249,489470.716074107,,,,,,,
brt,120921.205499999,483545.029562499,,,,,,,
brt,120686.883875001,483349.207062501,,,,,,,
brt,123071.28675,484292.905125,,,,,,,
brt,120901.995518456,485474.833992994,,,,,,,
brt,121185.044604764,483504.872151521,,,,,,,
brt,116570.915838031,483770.576737485,,,,,,,
brt,120887.891035171,489601.048295159,,,,,,,
brt,120365.1200625,482715.984875001,,,,,,,
brt,124704.2323125,480862.612062499,,,,,,,
brt,125328.4598125,480878.9763125,,,,,,,
brt,125490.698312499,480681.754500002,,,,,,,
brt,118102.377187502,488079.212749999,,,,,,,
brt,123714.068999998,485593.623062499,,,,,,,
brt,120830.807374999,489373.827,,,,,,,
brt,120465.168018212,481295.205053643,,,,,,,
brt,118901.507554357,479530.729300656,,,,,,,
brt,117825.586888973,484930.713770428,,,,,,,
brt,117822.1955,485777.0835,,,,,,,
brt,119345.79678277,479416.211335967,,,,,,,
brt,124913.217193425,478578.73287155,,,,,,,
brt,122823.439746538,484591.572163222,,,,,,,
